alert_id,rise_days,flux_g,flux_r,color_g_minus_r,class,class_probability,gw_overlap
SIM00000,15.248642,1.43643431,1.07833899,-0.311326,SN II,0.5800,0.535882
SIM00001,17.090312,1.13148380,0.82173667,-0.347289,SN II,0.5800,0.433646
SIM00002,4.073639,0.10441240,0.13352221,0.267004,SN II,0.5800,0.123802
SIM00003,10.822514,2.28680839,2.52457257,0.107395,SN II,0.5800,0.396680
SIM00004,43.955225,2.05382306,1.85404050,-0.111110,SN II,0.5800,0.144255
SIM00005,6.182858,0.52426013,0.43330544,-0.206882,SN II,0.5800,0.581600
SIM00006,29.112193,2.99494931,2.22809937,-0.321137,SN II,0.5800,0.059601
SIM00007,10.062183,1.27660079,1.17434892,-0.090645,SN II,0.5800,0.585562
SIM00008,20.940113,2.96109879,3.52162325,0.188225,SN Ia,0.9100,0.244097
SIM00009,26.274643,4.87382742,5.90031251,0.207512,SN II,0.5800,0.287938
SIM00010,44.127693,1.53643450,1.88981236,0.224762,SN II,0.5800,0.151985
SIM00011,22.514376,1.62692903,2.00958210,0.229343,SN Ia,0.9100,0.573026
SIM00012,39.521024,3.12459839,3.48723589,0.119218,SN II,0.5800,0.579895
SIM00013,21.073035,6.24865044,6.44778766,0.034061,SN Ia,0.9100,0.664152
SIM00014,3.669455,0.26974193,0.37633508,0.361566,SN II,0.5800,0.821925
SIM00015,13.522203,1.85761803,1.32967193,-0.363030,SN II,0.5800,0.461695
SIM00016,8.394129,0.21618170,0.26758173,0.231594,SN II,0.5800,0.129340
SIM00017,11.895053,1.87283854,1.41662801,-0.303111,SN II,0.5800,0.449187
SIM00018,25.175356,6.48236709,8.45812210,0.288851,SN II,0.5800,0.278421
SIM00019,19.273047,3.26351567,4.47236053,0.342128,SN Ia,0.9100,0.150921
SIM00020,8.753580,0.42095112,0.43756770,0.042034,SN II,0.5800,0.589124
SIM00021,12.560851,0.59004346,0.56554338,-0.046045,SN Ia,0.9100,0.566341
SIM00022,42.936309,3.97502451,4.50097958,0.134918,AGN flare,0.6700,0.676200
SIM00023,3.375687,0.31061734,0.40757941,0.294966,SN II,0.5800,0.797873
SIM00024,18.264672,1.17814634,1.34780259,0.146068,SN Ia,0.9100,0.062248
SIM00025,3.963295,0.08282506,0.07769302,-0.069449,SN II,0.5800,0.052576
SIM00026,1.010264,0.00443274,0.00423117,-0.050530,kilonova,0.7200,0.025501
SIM00027,39.470625,2.14391140,1.87931077,-0.143021,SN II,0.5800,0.347390
SIM00028,17.023191,1.84682854,2.57664329,0.361569,SN Ia,0.9100,0.465989
SIM00029,22.288725,0.79103471,0.74345009,-0.067359,SN Ia,0.9100,0.264757
SIM00030,37.469637,0.83895181,1.14574802,0.338380,SN II,0.5800,0.528257
SIM00031,7.450512,0.31397647,0.33585328,0.073131,SN II,0.5800,0.978501
SIM00032,38.986301,2.88355561,2.75866839,-0.048072,SN II,0.5800,0.167042
SIM00033,34.965268,4.63993149,4.31868814,-0.077899,AGN flare,0.6700,0.223042
SIM00034,36.706495,7.46971976,9.44363062,0.254587,AGN flare,0.6700,0.818333
SIM00035,33.554413,2.30608074,2.18822568,-0.056956,SN II,0.5800,0.028980
SIM00036,2.229231,0.03656140,0.04331668,0.184081,SN II,0.5800,0.956515
SIM00037,20.678018,6.89513507,9.43599539,0.340612,SN Ia,0.9100,0.364636
SIM00038,10.700342,0.54194706,0.45689462,-0.185352,SN II,0.5800,0.624066
SIM00039,40.613567,4.44343347,5.14142857,0.158413,AGN flare,0.6700,0.799644
SIM00040,4.730253,0.53336064,0.66542715,0.240199,SN II,0.5800,0.750140
SIM00041,22.033441,2.47055851,2.30444319,-0.075573,SN Ia,0.9100,0.800824
SIM00042,43.752921,2.43416255,3.31717426,0.336047,SN II,0.5800,0.724799
SIM00043,8.480161,0.27768965,0.37027039,0.312398,SN II,0.5800,0.806502
SIM00044,7.431670,1.50771409,1.74908073,0.161227,SN II,0.5800,0.350408
SIM00045,25.141042,0.74555015,1.02857823,0.349401,SN II,0.5800,0.649675
SIM00046,24.169566,4.40980763,5.77781838,0.293361,SN Ia,0.9100,0.826155
